Recency,Frequency,Monetary
35,13,53.8
242,12,100.0
122,8,70.3
323,8,60.65
28,21,204.96
199,15,182.94
88,12,155.9
86,9,48.75
152,12,89.36
21,13,89.8
41,11,75.86
89,19,186.75
88,10,75.1
240,7,71.4
86,11,104.7
91,11,75.49
221,8,94.6
385,2,73.5
78,10,73.84
53,8,53.4
571,6,117.5
185,17,182.0
142,4,58.2
133,6,42.62
216,16,111.95
227,9,129.7
172,13,107.6
291,2,16.35
76,7,64.6
129,16,96.46
198,12,91.3
596,9,83.05
113,14,69.9
14,10,58.44
16,19,214.2
213,2,2.7
34,11,48.1
272,10,113.75
75,6,35.75
354,8,94.69
66,4,25.4
35,8,98.9
189,4,16.7
143,6,51.6
73,6,23.8
116,8,62.3
240,14,124.6
50,20,207.36
174,12,80.7
70,9,43.9
219,6,75.7
51,6,58.2
570,8,32.15
50,8,38.9
564,5,16.8
116,14,149.1
103,16,129.32
341,4,8.1
158,7,59.1
566,6,19.92
163,8,112.3
182,4,20.7
132,10,90.45
420,4,66.4
460,3,17.1
68,4,50.7
27,12,109.8
75,10,71.96
41,11,80.3
77,13,87.9
109,14,50.9
63,7,50.0
112,6,89.1
230,5,17.8
241,16,138.6
596,5,65.8
327,7,102.7
137,7,31.74
2,14,94.4
138,21,193.82
30,9,58.75
390,2,9.3
82,20,104.31
277,2,3.65
113,20,149.79
61,8,57.76
155,2,15.3
59,17,106.48
139,6,39.7
293,10,88.3
367,7,52.0
186,10,73.7
403,10,87.1
64,10,40.25
222,6,34.8
90,20,129.38
153,12,94.06
268,12,93.9
40,18,155.9
40,11,53.3
265,4,26.36
147,11,74.65
173,16,121.12
342,8,68.5
220,3,34.6
5,18,173.4
329,2,22.4
95,17,144.39
9,6,33.0
48,11,73.6
494,4,15.9
41,11,67.56
227,9,124.2
76,12,85.16
178,10,67.25
374,13,179.64
103,11,94.95
99,9,24.64
149,12,143.82
391,7,48.4
173,9,40.97
57,19,209.06
95,6,17.6
119,6,53.3
345,9,72.8
187,8,66.7
380,9,80.8
200,8,81.0
249,12,54.5
76,16,133.25
84,6,34.6
109,20,157.52
409,6,49.2
94,19,118.76
18,7,34.6
26,10,54.4
104,5,68.8
164,8,83.05
22,17,101.5
227,9,35.2
3,8,89.3
108,2,24.0
452,7,136.9
74,11,49.1
199,6,25.45
40,15,118.51
291,7,78.3
146,12,113.5
16,9,54.1
275,5,31.1
1,9,136.2
575,4,29.1
317,4,23.5
299,9,86.6
29,20,184.44
239,10,75.3
69,9,36.5
322,11,59.9
135,14,96.65
77,4,10.45
45,11,114.24
475,5,112.6
493,4,9.9
44,8,38.2
31,16,199.82
184,16,97.6
197,5,43.5
128,10,108.9
248,9,51.83
18,7,14.77
355,8,69.7
544,4,30.55
64,17,161.1
144,6,100.6
355,5,28.4
48,4,22.56
231,9,73.2
56,6,64.06
33,8,34.42
38,18,153.6
333,7,167.9
20,13,57.5
95,8,26.05
401,4,34.8
161,10,61.6
160,16,142.1
291,10,69.1
229,14,96.6
46,8,62.06
14,11,171.46
414,9,121.29
220,16,107.75
152,8,68.4
107,11,94.6
354,6,58.9
346,9,76.71
127,14,183.2
315,8,68.6
1,20,194.2
454,4,32.6
1,16,182.45
410,2,1.7
97,4,16.8
30,10,61.6
466,4,83.3
224,19,127.0
48,10,84.55
601,2,7.7
310,3,16.6
285,8,146.4
41,13,66.85
64,16,156.0
182,7,33.0
139,19,98.36
40,10,74.44
215,18,153.88
233,5,40.6
265,20,160.8
304,2,27.0
121,16,139.0
260,12,58.64
222,11,156.22
16,17,125.11
400,8,39.02
26,19,167.71
366,8,57.4
452,4,17.4
15,16,166.65
445,5,62.8
448,2,1.3
34,3,6.6
261,10,104.9
193,6,51.94
255,5,115.0
460,2,26.8
123,12,99.65
470,4,20.0
508,6,50.9
452,4,48.74
223,8,47.05
526,6,46.6
437,4,39.8
23,17,145.0
490,2,10.8
594,2,15.0
437,9,57.8
91,14,123.62
249,6,67.06
521,2,28.8
240,4,24.6
538,7,63.88
37,13,101.5
29,15,108.21
21,15,95.2
111,17,112.9
140,8,47.1
211,9,91.9
42,10,40.7
47,16,144.7
485,4,25.6
162,14,107.4
140,16,124.45
124,17,180.92
458,7,92.68
52,11,125.9
99,13,107.5
285,12,55.0
67,4,22.7
65,11,93.46
373,12,120.4
160,8,62.35
37,17,154.34
382,9,108.15
156,7,60.8
210,8,23.1
482,2,21.0
57,7,54.0
92,10,56.96
113,14,82.0
135,7,68.5
220,12,114.3
40,9,58.19
191,12,66.7
291,8,89.4
273,11,88.35
403,4,12.4
184,8,79.5
226,14,197.8
5,2,17.3
481,2,2.9
53,6,82.0
279,6,49.6
522,6,32.54
95,5,51.3
134,9,63.8
345,10,90.72
261,5,14.6
72,15,140.64
57,7,39.1
3,14,179.2
218,9,80.3
51,11,103.8
143,18,136.92
281,10,88.82
221,16,146.6
58,11,118.4
31,9,61.75
28,15,64.1
99,18,145.5
206,5,27.0
73,12,94.45
270,9,192.85
5,4,70.5
506,5,25.1
32,12,76.7
42,14,82.7
61,12,139.4
314,13,132.05
59,10,124.22
117,5,25.5
162,10,78.36
236,7,59.7
106,13,118.2
104,6,58.0
17,11,77.52
483,6,19.2
307,6,63.1
29,13,74.95
102,13,92.7
113,10,131.44
115,6,24.3
1,12,98.4
580,4,46.4
14,16,195.2
113,17,100.9
85,5,62.7
77,13,96.6
152,8,35.4
58,12,62.5
147,5,70.9
168,2,33.9
394,8,23.6
178,11,61.1
233,6,90.3
188,10,97.3
164,14,153.4
147,10,33.2
80,2,7.2
183,7,37.58
291,11,92.9
79,4,52.5
39,11,101.1
282,15,104.75
92,6,43.0
310,6,41.0
11,15,86.6
34,15,164.7
152,6,54.8
578,6,47.46
271,7,44.2
315,8,36.3
303,12,99.87
131,13,97.4
254,6,85.9
491,7,44.15
220,4,56.1
79,23,174.64
161,8,106.52
9,2,11.8
259,8,86.51
385,9,80.1
445,2,7.8
215,4,13.6
442,4,17.8
228,10,68.4
241,18,159.5
305,6,45.2
2,12,102.2
160,7,31.9
155,6,37.06
313,4,70.32
44,12,86.27
381,7,63.8
220,2,3.4
367,4,10.8
130,14,137.7
103,10,70.1
393,7,38.7
267,15,165.5
22,11,82.35
145,11,50.12
87,19,152.4
443,6,49.46
82,6,79.3
97,10,44.32
175,10,74.04
34,16,92.4
346,13,107.14
326,5,31.1
13,16,203.6
53,9,48.3
148,11,96.1
464,4,50.6
397,8,49.5
250,15,175.55
304,2,13.49
137,4,20.05
32,17,188.94
139,2,10.9
24,12,102.6
121,13,88.1
82,11,93.4
1,20,163.32
607,6,25.8
484,8,63.26
573,3,30.0
286,4,39.1
88,9,54.45
44,15,106.1
337,6,54.56
35,15,191.04
404,4,34.8
69,11,110.7
287,2,20.4
40,18,168.74
355,12,139.4
128,7,46.9
165,4,32.66
189,10,163.7
9,8,77.3
462,4,19.7
6,6,35.1
210,5,21.8
51,17,190.96
29,22,209.8
132,5,73.0
82,15,105.24
489,2,9.5
567,2,29.7
496,4,16.8
102,16,112.6
89,10,93.9
154,12,84.8
13,10,106.93
126,13,111.84
40,17,172.9
321,8,71.2
229,14,95.29
39,13,114.44
209,4,23.8
38,20,115.28
186,19,169.22
84,8,143.6
171,4,51.9
16,17,115.9
423,7,34.9
32,8,96.8
190,13,60.7
87,4,45.5
0,11,108.4
335,11,98.0
90,15,113.7
92,16,175.74
355,9,62.5
613,2,16.8
81,9,123.42
63,8,56.1
51,10,48.5
284,16,127.52
135,10,122.6
60,7,49.3
135,9,94.5
30,11,151.7
64,8,100.56
370,5,76.0
191,16,130.6
45,8,35.9
0,17,146.2
66,18,174.51
283,4,40.42
101,10,59.21
48,10,115.8
128,10,63.54
32,13,93.1
336,4,70.72
151,9,55.5
19,7,66.45
428,2,13.4
307,6,81.5
369,6,86.8
371,19,216.19
277,10,124.75
25,9,52.8
431,5,61.1
34,11,84.49
0,14,65.9
106,8,85.5
196,7,49.7
445,5,40.9
345,4,27.7
193,6,93.3
53,6,60.14
139,18,153.31
180,8,114.36
242,8,60.4
332,5,16.0
30,6,45.55
94,5,37.6
34,12,130.9
145,13,136.2
308,9,74.16
74,7,36.8
361,9,51.8
256,7,57.5
455,6,45.1
287,9,120.85
230,7,67.95
141,13,92.7
162,14,95.7
223,15,183.5
278,2,37.2
578,2,20.9
148,4,108.6
268,2,15.4
88,7,103.0
593,2,1.9
158,19,135.55
233,6,66.9
612,5,35.0
68,8,83.0
41,21,145.76
263,17,192.08
589,8,46.4
285,5,41.0
220,8,34.5
100,20,182.1
343,6,36.9
148,23,205.7
360,10,38.62
289,2,32.1
190,8,57.2
563,2,11.5
25,16,53.35
139,6,83.7
146,6,95.06
37,20,157.65
173,16,141.95
357,8,38.3
607,6,25.9
182,13,101.62
78,8,109.54
490,4,46.0
137,6,43.7
285,10,103.2
397,2,4.4
144,7,32.6
341,6,23.3
86,21,171.5
169,10,35.45
328,8,58.2
303,7,29.2
78,13,71.64
21,6,85.5
123,14,148.0
91,15,106.75
49,8,48.0
177,11,47.1
49,8,128.0
444,6,35.76
47,18,170.12
13,15,203.1
218,6,25.7
270,10,93.85
54,16,102.3
127,15,164.7
70,4,85.42
27,12,69.5
22,13,132.0
275,9,35.1
150,16,192.72
62,11,132.61
132,11,160.1
313,14,150.72
294,10,72.96
58,12,135.7
8,9,151.0
33,18,205.26
315,2,4.1
263,9,37.0
41,15,118.4
205,6,60.9
222,4,16.5
138,5,48.6
15,14,117.04
143,6,32.62
27,19,107.3
35,6,41.86
25,12,119.6
293,8,81.5
81,7,114.8
190,12,94.7
458,2,5.9
246,4,12.0
535,5,62.62
451,4,31.7
124,17,151.66
10,7,82.88
243,10,89.0
31,18,178.7
551,6,39.8
288,12,105.5
23,18,201.0
40,9,109.1
61,12,107.14
597,6,38.9
118,12,113.3
30,15,145.5
157,7,76.25
52,17,115.16
201,5,30.0
49,13,100.1
273,10,57.4
31,6,30.0
259,4,38.7
352,2,41.6
131,11,127.2
133,9,52.74
38,9,73.5
84,6,39.6
26,12,115.55
80,10,57.6
46,8,61.4
22,11,53.2
385,6,67.2
542,6,20.1
59,20,155.66
132,5,29.2
361,8,79.9
134,8,26.7
594,6,39.9
439,11,85.3
50,2,10.1
386,5,54.8
131,16,125.8
185,15,121.65
3,12,71.9
455,6,37.8
329,2,20.6
87,13,81.95
43,15,78.66
161,8,50.64
96,10,98.4
61,4,18.64
227,2,37.9
350,12,71.5
312,14,125.6
79,8,50.85
138,14,155.0
204,4,24.5
2,16,159.4
252,4,34.4
25,6,100.0
38,19,163.66
487,5,79.1
150,5,44.4
501,8,101.2
51,8,55.3
291,7,62.95
104,13,85.84
25,7,39.04
76,6,11.8
125,13,68.45
22,10,87.34
112,11,107.0
429,6,82.35
4,13,132.1
165,6,32.4
137,7,41.1
15,15,174.7
5,8,43.0
40,12,97.2
215,7,50.0
190,17,133.6
170,17,181.0
511,5,104.0
123,12,83.0
116,21,156.95
455,8,40.85
213,4,55.9
404,16,125.8
10,13,117.6
18,9,111.7
47,14,86.6
93,4,7.65
77,10,49.5
378,11,67.2
297,19,85.8
360,8,87.34
325,12,112.96
280,10,58.9
255,10,48.6
131,17,124.5
104,14,108.8
574,4,16.9
98,9,72.6
7,15,108.0
307,14,127.84
95,12,127.8
341,8,50.8
182,4,11.0
3,7,57.45
45,11,58.6
294,8,112.8
343,5,79.75
67,12,102.36
117,19,122.61
0,5,26.8
41,10,45.52
282,6,34.0
58,8,57.5
59,9,71.1
145,12,62.65
80,2,41.4
259,14,109.3
27,20,185.9
373,6,85.3
63,9,101.1
78,21,119.05
207,6,65.46
81,13,164.2
176,18,126.24
95,7,66.7
9,19,193.0
323,6,24.3
10,16,105.55
69,10,100.4
276,4,22.7
454,8,59.4
137,13,182.84
104,5,26.3
271,4,65.75
57,14,86.4
411,11,92.09
363,17,135.2
94,9,46.82
152,12,81.4
201,11,47.3
232,9,53.9
30,9,81.9
204,7,42.3
177,10,108.12
12,6,85.7
162,10,109.8
429,6,38.4
443,12,107.2
98,18,145.3
77,4,49.8
394,3,50.9
40,12,97.4
122,11,67.3
496,10,88.11
131,12,133.2
111,10,48.6
12,17,206.9
267,10,85.4
223,8,140.2
302,12,59.9
33,11,120.9
59,9,70.4
39,13,104.9
376,2,11.7
182,23,158.6
281,9,38.25
194,8,67.0
348,4,36.5
355,7,67.15
43,16,154.75
159,10,80.8
38,7,72.16
191,10,106.64
113,6,95.0
174,12,87.75
280,10,91.9
82,11,142.2
367,5,40.9
234,4,28.6
310,6,45.8
24,9,56.65
47,15,109.72
145,7,20.0
31,12,62.5
257,9,60.05
177,8,47.25
188,8,61.42
294,8,99.2
172,10,82.0
478,9,54.52
213,9,126.1
157,6,38.7
51,13,160.65
65,8,95.9
111,5,80.7
249,5,38.7
216,11,161.4
522,4,14.7
140,5,32.9
148,14,110.6
94,8,61.6
27,14,146.6
276,11,67.7
424,7,68.5
228,11,51.0
381,2,21.9
128,10,47.7
102,5,39.1
154,9,35.9
154,5,69.9
197,2,25.3
456,11,43.22
33,21,127.61
417,8,34.4
106,4,18.8
76,11,51.05
96,6,97.4
55,10,66.7
19,12,105.05
5,11,78.5
28,4,22.56
51,22,185.8
207,14,183.1
217,8,197.2
543,6,22.8
40,15,109.12
270,8,92.3
88,14,141.2
402,13,118.38
379,12,111.3
339,8,47.4
414,2,12.8
67,12,93.64
97,10,74.44
31,12,99.2
29,7,59.22
295,10,62.45
256,6,61.2
164,5,51.2
157,20,180.64
121,7,44.8
61,10,85.6
211,7,74.66
130,6,55.1
134,16,195.7
209,7,36.55
145,4,13.0
44,7,34.65
154,11,137.0
92,4,70.4
134,4,39.6
317,6,30.0
49,14,193.0
84,19,98.9
24,12,93.15
43,14,72.99
575,2,10.7
75,6,65.0
229,6,38.6
104,9,99.8
173,21,126.9
45,13,115.3
82,16,157.7
114,20,179.8
435,2,16.2
146,19,185.8
489,11,49.6
137,6,42.2
74,13,67.8
236,10,72.0
61,14,137.52
42,11,204.15
105,5,36.6
441,4,39.0
91,20,140.86
121,4,21.7
244,14,115.9
22,12,110.5
532,9,112.0
127,21,129.75
49,10,43.35
69,6,108.1
37,10,85.3
296,4,57.2
146,11,114.62
320,8,76.12
333,4,20.8
180,7,101.5
17,19,160.6
355,4,25.2
15,12,54.9
205,10,70.8
0,2,11.1
394,10,53.17
148,4,44.2
433,16,91.24
64,15,93.95
88,11,101.0
160,14,76.76
567,9,100.7
103,8,120.55
211,5,25.9
67,2,114.9
241,5,76.6
95,4,23.3
77,3,6.7
352,3,41.9
299,6,105.9
39,17,193.7
76,10,49.83
60,4,54.7
16,7,89.2
143,16,199.6
34,8,39.75
76,9,76.0
113,6,56.9
112,2,7.6
151,6,42.2
21,23,201.2
124,8,103.8
175,9,81.9
86,12,83.1
201,15,58.22
234,10,51.75
2,21,150.12
128,16,159.24
129,7,82.4
71,7,47.3
37,6,44.7
131,13,118.8
99,13,83.99
22,4,32.0
37,6,51.85
70,6,11.65
80,6,49.4
11,12,55.34
7,18,86.86
276,4,13.2
122,7,32.45
190,19,84.5
232,4,22.6
137,4,47.6
68,16,180.4
127,13,139.6
46,18,91.1
41,9,67.8
352,2,20.6
121,7,64.1
527,4,10.25
412,8,73.4
411,4,75.2
447,4,37.45
10,13,134.29
175,11,86.7
117,7,33.22
307,13,153.9
155,7,54.45
319,11,201.5
80,6,62.46
7,11,113.22
490,6,32.3
255,8,101.95
227,10,76.95
99,4,47.4
84,15,140.0
97,14,146.7
41,14,139.24
253,16,113.56
14,9,66.01
23,15,148.4
131,5,35.25
10,12,96.8
14,12,73.2
84,9,95.3
185,4,23.9
100,8,32.2
15,12,95.12
52,17,101.85
36,18,145.23
47,5,32.54
209,12,65.76
479,9,165.35
157,5,36.4
3,9,112.0
99,8,48.11
33,13,116.9
131,8,53.0
342,14,84.0
223,12,137.7
140,9,36.54
206,12,81.65
181,10,146.1
77,10,82.66
32,12,73.2
195,9,83.65
10,11,55.2
344,6,18.0
26,8,58.0
229,15,170.9
75,6,59.04
164,14,168.41
253,5,53.6
342,10,103.0
37,10,45.9
53,12,108.0
137,3,25.3
252,8,66.7
211,20,182.4
265,10,70.0
324,5,32.7
60,16,161.3
72,11,69.4
54,16,95.3
201,16,159.3
602,6,34.44
92,6,38.2
339,2,8.6
90,11,111.27
436,7,35.8
78,15,151.14
10,11,39.6
234,12,108.5
294,2,20.55
71,9,110.4
343,5,72.06
36,12,56.4
33,18,107.5
90,6,53.1
63,10,51.9
154,8,81.5
308,8,63.51
572,4,19.0
114,8,44.6
54,6,33.3
42,7,61.4
123,4,12.1
53,13,146.28
165,5,68.2
97,8,69.2
84,14,180.0
422,4,20.6
267,10,82.15
572,3,38.6
188,6,60.9
612,2,49.0
41,12,95.22
142,11,111.23
141,15,109.9
125,12,90.0
376,11,76.2
147,16,169.96
95,7,69.4
339,8,62.8
323,2,9.0
614,4,93.3
258,12,81.6
0,6,22.7
297,9,31.0
188,19,156.0
158,7,49.3
359,10,148.6
18,5,16.8
193,6,72.9
48,9,53.6
164,10,62.25
221,9,93.0
92,11,176.94
118,11,78.9
381,4,17.09
290,11,97.7
414,8,40.4
145,9,44.2
62,11,120.56
151,11,56.8
166,8,80.06
85,12,126.96
462,4,19.92
194,10,107.5
115,12,65.3
20,15,117.75
22,9,122.4
35,7,40.95
59,11,83.4
195,10,94.45
118,18,187.5
303,5,59.8
141,4,40.1
468,7,30.8
299,13,102.52
144,13,108.8
454,6,43.85
10,11,177.1
258,4,41.15
377,5,21.1
190,7,73.6
366,7,45.6
80,11,69.9
120,20,128.25
136,6,37.75
32,10,74.75
80,6,39.1
50,10,101.67
323,5,27.3
208,15,127.91
173,8,58.76
82,14,103.4
542,2,13.8
507,2,22.8
576,4,33.0
81,10,94.9
222,14,117.65
93,13,169.45
186,2,64.2
94,12,108.6
298,8,54.3
74,7,40.5
266,8,74.2
153,8,95.8
88,14,156.4
31,13,74.3
63,12,88.4
492,2,5.3
345,4,30.6
34,14,128.8
43,2,24.2
28,8,91.05
181,13,80.6
257,6,19.2
148,6,28.2
12,6,83.42
2,19,170.95
246,10,82.5
296,13,108.1
193,5,27.7
214,4,45.66
8,22,210.51
216,17,186.6
27,15,109.2
238,14,155.7
124,9,86.05
6,20,164.2
66,13,113.35
330,13,104.36
324,9,89.6
24,12,100.9
17,12,69.41
29,12,81.54
73,9,78.9
208,12,87.82
106,10,74.9
276,15,141.8
229,8,98.56
123,5,108.3
213,11,68.15
288,2,4.4
215,4,55.1
76,8,73.4
190,16,205.0
83,20,131.17
162,6,34.3
340,12,135.7
12,12,105.85
131,9,85.35
229,8,64.9
437,7,33.3
562,6,26.15
61,8,62.75
184,13,65.5
56,10,108.95
181,2,39.9
352,8,59.2
96,14,93.85
91,9,86.3
49,14,151.6
101,6,81.9
116,13,142.0
33,14,89.0
359,11,79.34
150,4,33.32
353,7,58.7
346,7,89.46
142,6,42.84
400,8,90.6
353,4,35.5
64,2,53.7
233,3,57.6
346,7,38.42
287,13,131.4
14,4,26.2
26,6,99.9
14,8,84.2
213,12,83.12
56,16,137.84
111,11,94.2
101,12,97.85
280,2,12.4
11,19,140.56
98,22,202.0
2,10,47.9
566,2,5.35
304,2,5.92
85,20,166.8
50,7,69.07
102,10,107.3
6,9,39.35
518,6,122.6
182,2,6.4
93,7,102.34
82,13,93.54
184,11,121.62
476,6,28.6
1,12,64.07
281,16,137.68
59,17,117.2
229,9,74.5
315,5,38.54
35,10,67.3
10,14,128.42
205,6,83.16
348,6,33.7
234,6,82.3
